# 資料庫版本: 2020-08-22
序號	字頭	字頭種類	異體字	頁碼	補遺頁碼	粵拼聲母	粵拼韻母	粵拼聲調	九聲聲調	粵拼讀音	音序	讀音分類	釋義	另見原文	校訂註
368.1	停			7		t	ing	4	4	ting4	G53				
369.1	偏			7		p	in	1	1	pin1	C41				
370.1	假			7		g	aa	2	2	gaa2	J2		真假		
370.2	假			7		g	aa	3	3	gaa3	J3		放假		
371.1	健			7		g	in	6	6	gin6	J65				
372.1	偓			7			ak	1	7	ak1	A27				
372.2	偓			7		ng	ak	1	7	ngak1	N57	A			
373.1	偉			7		w	ai	5	5	wai5	T24				
374.1	傣			7		d	aai	2	2	daai2	F4				
374.2	傣			7		t	aai	3	3	taai3	G3	C			
375.1	傃			7		s	ou	3	3	sou3	R98				
376.1	備			7		b	ei	6	6	bei6	B38				
377.1	傎			7		d	in	1	1	din1	F63				
378.1	傅			7		f	u	6	6	fu6	E43				
378.2	傅			7		f	u	1	1	fu1	E38			通敷	
379.1	傈			7		l	eot	6	9	leot6	I106				
380.1	傌			7		m	aa	6	6	maa6	D4			同駡	
381.1	絛			7		t	ou	1	1	tou1	G56			同縧	
382.1	㑺			7		z	eon	3	3	zeon3	P120			同俊	
383.1	傁			7		s	au	2	2	sau2	R29			同叟	
384.1	𠌥			7		w	u	3	3	wu3	T55				
